"Name","Speaker","Text","ShortText","NextFragments","Flags","Requirements","SoundFragmentID","AnimName","InstructionsWhenShown"
"TestDialogue$DF_Greeting","Trainer","Good day to you lad. You look like another adventurer who has come to try his chance in these lands.",,"DF_PlGreeting;DF_PlQuestion5","UsedOnce;DisableClose",,4,,
"TestDialogue$DF_PlGreeting","Player","This place looks like an example scene. Maybe I can learn about some systems here?","Maybe I can learn about some systems here?","DF_TrAnswer2","DisableClose",,1,,
"TestDialogue$DF_TrAnswer2","Trainer","Indeed you can. I am a veteran soldier... fought a good deal in the wars in my time. But these days, I train young novices in this arena. If you have questions about theory of dialog or quest systems, feel free to ask.",,"DF_PlQuestion1;DF_PlQuestion2",,,2,,
"TestDialogue$DF_PlQuestion1","Player","I have a few questions.",,"DF_BranchRootText",,,3,,
"TestDialogue$DF_BranchRoot",,,,"DF_PlQuestion3;DF_PlQuestion4;DF_NoQuestions","QuestionHub",,,,
"TestDialogue$DF_PlQuestion3","Player","Tell me about quest system",,"DF_QuestDescription",,,5,,
"TestDialogue$DF_PlQuestion4","Player","Tell me about dialogue system",,"DF_ExitMessage",,,6,,
"TestDialogue$DF_ExitMessage","Trainer","If you have more questions, I will be waiting here.",,"DF_AutoClose",,,7,,
"TestDialogue$DF_PlQuestion2","Player","That's all, good bye.",,"DF_ExitMessage",,,8,,
"TestDialogue$DF_PlQuestion5","Player","I think I'm ready to complete first quest.",,"DF_StartTutQuest",,"DF_PlQuestion3;QuestState TutorialQuest Pending",9,,
"TestDialogue$DF_StartTutQuest","Trainer","Yes, now you're ready. This is a short quest which can be completed different ways. Just go.",,"DF_AutoClose",,,10,,"StartQuest TutorialQuest"
"TestDialogue$DF_DefaultRoot","Trainer","Welcome again. How can I help you?",,"DF_PlQuestion1;DF_TellMoreQuest;DF_PlQuestion5;DF_PlQuestion2","QuestionHub",,11,,
"TestDialogue$DF_QuestDescription","Trainer","With current quest system you can achieve very nonlinear quest logic. I have example quest for you if you are interested. It will give you an idea of what can be achieved with this system.",,"DF_BranchRoot",,,12,,
"TestDialogue$DF_NoQuestions","Player","I don't have questions.",,"DF_NoQuestionsAnswer",,,13,,
"TestDialogue$DF_BranchRootText","Trainer","Well, ask anything you like.",,"DF_BranchRoot",,,14,,
"TestDialogue$DF_NoQuestionsAnswer","Trainer","Can I help you with anything else?",,"DF_DefaultRoot",,,15,,
"TestDialogue$DF_AutoClose",,,,,,,16,,"CloseDialogue"
"TestDialogue$DF_DialogueDescription","Trainer","This dialogue system provides you a framework to build your own dialogue. Even very complex. This dialogue is also an axample of what you can achieve. Any questions?",,"DF_BranchRoot",,,17,,
"TestDialogue$DF_TellMoreQuest","Player","Can you tell me more about tutorial quest?",,"DF_TellMoreQuestAnswer",,"QuestState TutorialQuest Active",,,
"TestDialogue$DF_TellMoreQuestAnswer","Trainer","Ask anything you like",,"DF_TellMoreQuestHub",,,,,
"TestDialogue$DF_TellMoreQuestHub",,,,"DF_TellMoreQuestHowToComplete;DF_TellMoreNodeTypes;DF_TellMoreReqOpt;DF_TellMoreQuestReward;DF_NoQuestions","QuestionHub",,,,
"TestDialogue$DF_TellMoreQuestHowToComplete","Player","What should I do to complete the quest?",,"DF_TellMoreQuestHowToCompleteAns",,,,,
"TestDialogue$DF_TellMoreQuestReward","Player","Is there any reward for this quest?",,"DF_TellMoreQuestRewardAns",,,,,
"TestDialogue$DF_TellMoreQuestHowToCompleteAns","Trainer","To complete the quest you must complete all required nodes of the first level. This means that all the nodes which are not optional and don't have any parent nodes should be completed.",,"DF_TellMoreQuestHub",,,,,
